Publication Type,Authors,Author Full Names,Article Title,Source Title,Language,Document Type,Author Keywords,Keywords Plus,Abstract,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Publication Date,Publication Year,DOI,DOI Link,Number of Pages,WoS Categories,Research Areas,IDS Number,Open Access Designations,Date of Export,Web of Science Record
C,"Xuan, WL; Zhao, ZQ; Fan, L; Han, Z","Xuan, Wenlu; Zhao, Zhongqi; Fan, Lei; Han, Zhu",Minimizing Delay in Network Function Visualization with Quantum Computing,2021 IEEE 18TH INTERNATIONAL CONFERENCE ON MOBILE AD HOC AND SMART SYSTEMS (MASS 2021),English,Proceedings Paper,network function virtualization; virtual network functions; quantum computing; scheduling problem; delay,ALGORITHMS,"Network function virtualization (NFV) is a crucial technology for the 5G network development because it can improve the flexibility of employing hardware and reduce the construction of base stations. There are vast service chains in NFV to meet users' requests, which are composed of a sequence of network functions. These virtual network functions (VNFs) are implemented in virtual machines by software and virtual environment. How to deploy VMs to process VNFs of the service chains as soon as possible when users' requests are received is very challenging to solve by traditional algorithms on a large scale. Compared with traditional algorithms, quantum computing has better computational performance because of quantum parallelism. We build an integer linear programming model of the VNF scheduling problem with the objective of minimizing delays, and transfer it into the quadratic unconstrained binary optimization (QUBO) model. Our proposed heuristic algorithm employs a quantum annealer to solve the model. Finally, we evaluate the computational results and explore the feasibility of leveraging quantum computing to solve the VNF scheduling problem.",29,8,8,1,4,2155-6806,,978-1-6654-4935-9,,2021,10.1109/MASS52906.2021.00022,http://dx.doi.org/10.1109/MASS52906.2021.00022,9,"Computer Science, Artificial Intelligence; Computer Science, Hardware & Architecture; Computer Science, Information Systems; Computer Science, Theory & Methods; Telecommunications",Computer Science; Telecommunications,BS7FM,Green Submitted,2024-03-12,View Full Record in Web of Science
J,"Bhaskar, MK; Hadfield, S; Papageorgiou, A; Petras, I","Bhaskar, Mihir K.; Hadfield, Stuart; Papageorgiou, Anargyros; Petras, Iasonas",QUANTUM ALGORITHMS AND CIRCUITS FOR SCIENTIFIC COMPUTING,QUANTUM INFORMATION & COMPUTATION,English,Article,Quantum algorithms; reversible circuits; scientific computing,NETWORKS,"Quantum algorithms for scientific computing require modules implementing fundamental functions, such as the square root, the logarithm, and others. We require algorithms that have a well-controlled numerical error, that are uniformly scalable and reversible (unitary), and that can be implemented efficiently. We present quantum algorithms and circuits for computing the square root, the natural logarithm, and arbitrary fractional powers. We provide performance guarantees in terms of their worst-case accuracy and cost. We further illustrate their performance by providing tests comparing them to the respective floating point implementations found in widely used numerical software.",27,24,25,0,8,1533-7146,,,MAR,2016,,,40,"Computer Science, Theory & Methods; Quantum Science & Technology; Physics, Particles & Fields; Physics, Mathematical",Computer Science; Physics,DR8AL,,2024-03-12,View Full Record in Web of Science
C,"Monita, V; Munadi, R; Irawati, ID","Monita, Vivi; Munadi, Rendy; Irawati, Indrarini Dyah",A Quantum Key Distribution Network Routing Performance Based on Software-Defined Network,"2023 IEEE 13TH ANNUAL COMPUTING AND COMMUNICATION WORKSHOP AND CONFERENCE, CCWC",English,Proceedings Paper,QKD network; SDN; OSPF; RIP,,"Quantum key distribution (QKD) is a network security technology that generates encryption keys in real time and randomly during information transmission. This research implements a QKD network based on a software-defined network (SDN) by taking advantage of its advantages, such as saving resources to search for alternative routes and monitoring links to determine whether the conditions in each router network meet the needs or not. Path selection is made using metrics, such as the hop count metric using the routing information protocol (RIP) and the cost using open shortest path first (OSPF). Based on the results of routing performance testing on the QKD network based on SDN, tested ten times to get an average value, OSPF routing is faster at finding alternative routes than RIP routing. The test results for RIP routing throughput of 9.22 ms, delay of 0.76 ms, packet loss of 0.0044%, and convergence time of 10.64 ms. The results for OSPF routing throughput of 9.32 ms, delay of 0.75 ms, packet loss of 0.0039%, and convergence time of 10.51 ms.",20,0,0,0,1,,,979-8-3503-3286-5,,2023,10.1109/CCWC57344.2023.10099323,http://dx.doi.org/10.1109/CCWC57344.2023.10099323,5,"Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Telecommunications",Computer Science; Telecommunications,BV1QP,,2024-03-12,View Full Record in Web of Science
C,"Wood, CJ","Wood, Christopher J.",Special Session: Noise Characterization and Error Mitigation in Near-Term Quantum Computers,2020 IEEE 38TH INTERNATIONAL CONFERENCE ON COMPUTER DESIGN (ICCD 2020),English,Proceedings Paper,quantum computing; software; characterization; verification; error mitigation,,"A detailed understanding of the noise processes and errors in near-term quantum computers is essential for accurate calibration of gates, and for achieving optimal performance when executing near-term applications such as quantum chemistry, optimization, or machine learning problems. This paper introduces several sources of noise in superconducting qubit based quantum computers such as those deployed by IBM, describes some of the main techniques for characterizing the resulting errors, and for mitigating the effects of certain errors without access to quantum error correction. We demonstrate experimental application of these techniques on an IBM Quantum system using the open source Qiskit software library.",22,9,10,0,2,1063-6404,,978-1-7281-9710-4,,2020,10.1109/ICCD50377.2020.00016,http://dx.doi.org/10.1109/ICCD50377.2020.00016,4,"Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic",Computer Science; Engineering,BR4QH,,2024-03-12,View Full Record in Web of Science
C,"Pukhovsky, V; Gushanskiy, S; Potapov, V","Pukhovsky, Valery; Gushanskiy, Sergey; Potapov, Viktor",Developing a Hardware Approach to Simulating Quantum Computing Using an Optimization Algorithm,25TH PAN-HELLENIC CONFERENCE ON INFORMATICS WITH INTERNATIONAL PARTICIPATION (PCI2021),English,Proceedings Paper,quantum register; quantum simulator; qubit; quantum algorithm; accelerator; quantum gate; circuit,,"In the past few decades, there has been an acute problem of creating a quantum computer that uses quantum mechanical effects such as quantum parallelism and quantum entanglement for computations. Using these mechanisms, the quantum computer is able to solve some of the NP-class problems in polynomial time. A hardware approach to modeling quantum computing is considered, and a general mathematical model of the operation of a quantum computer is described, and a technique for mathematical modeling of quantum computing is presented. At the stage of consideration of the method of mathematical modeling, the most resource-intensive parts of the model are indicated. Also, issues related to data parallelization on a hardware accelerator, which are planned to be used to simulate quantum computing, were considered, and algorithms for the operation of this type of accelerator were given. A more compact data format is proposed, which is recommended to be used when implementing the accelerator. Using the proposed format, it is possible to reduce the resources spent on elementary arithmetic operations. The possibility of introducing an optimization algorithm to minimize the time spent in computations, as well as to speed up the execution of quantum algorithms in simulators of a quantum computer at the stage of the effect of quantum gates on the quantum register model, is proposed. The results of the optimization algorithm and its comparison with the classical mathematical approach using a software model are presented.",9,0,0,0,1,,,978-1-4503-9555-7,,2021,10.1145/3503823.3503894,http://dx.doi.org/10.1145/3503823.3503894,6,"Computer Science, Theory & Methods",Computer Science,BU6QT,,2024-03-12,View Full Record in Web of Science
C,"Bartusek, J; Kalai, YT; Lombardi, A; Ma, F; Malavolta, G; Vaikuntanathan, V; Vidick, T; Yang, L","Bartusek, James; Kalai, Yael Tauman; Lombardi, Alex; Ma, Fermi; Malavolta, Giulio; Vaikuntanathan, Vinod; Vidick, Thomas; Yang, Lisa",Succinct Classical Verification of Quantum Computation,"ADVANCES IN CRYPTOLOGY - CRYPTO 2022, PT II",English,Proceedings Paper,,COMPLEXITY,"We construct a classically verifiable succinct interactive argument for quantum computation (BQP) with communication complexity and verifier runtime that are poly-logarithmic in the runtime of the BQP computation (and polynomial in the security parameter). Our protocol is secure assuming the post-quantum security of indistinguishability obfuscation (iO) and Learning with Errors (LWE). This is the first succinct argument for quantum computation in the plain model; prior work (Chia-Chung-Yamakawa, TCC '20) requires both a long common reference string and non-black-box use of a hash function modeled as a random oracle. At a technical level, we revisit the framework for constructing classically verifiable quantum computation (Mahadev, FOCS '18). We give a self-contained, modular proof of security for Mahadev's protocol, which we believe is of independent interest. Our proof readily generalizes to a setting in which the verifier's first message (which consists of many public keys) is compressed. Next, we formalize this notion of compressed public keys; we view the object as a generalization of constrained/programmable PRFs and instantiate it based on indistinguishability obfuscation. Finally, we compile the above protocol into a fully succinct argument using a (sufficiently composable) succinct argument of knowledge for NP. Using our framework, we achieve several additional results, including -Succinct arguments for QMA (given multiple copies of the witness), -Succinct non-interactive arguments for BQP (or QMA) in the quantum random oracle model, and -Succinct batch arguments for BQP (or QMA) assuming postquantum LWE (without iO).",22,3,3,1,2,0302-9743,1611-3349,978-3-031-15978-7; 978-3-031-15979-4,,2022,10.1007/978-3-031-15979-4_7,http://dx.doi.org/10.1007/978-3-031-15979-4_7,17,"Computer Science, Information Systems; Computer Science, Theory & Methods",Computer Science,BU2UX,"Green Accepted, Green Submitted",2024-03-12,View Full Record in Web of Science
J,"Pakin, S; Reinhardt, SP","Pakin, Scott; Reinhardt, Steven P.",PROGRAMMING A D-WAVE ANNEALING-BASED QUANTUM COMPUTER: TOOLS AND TECHNIQUES,QUANTUM INFORMATION & COMPUTATION,English,Article,D-Wave; quantum computing; quantum annealing; programming models; development tools,,"Quantum annealing is a form of quantum computing that exploits quantum effects to probabilistically solve a specific, NP-hard problem: finding the ground state of a classical, Ising-model Hamiltonian. Because physical quantum annealers are already available, there exists the pressing question of how to program such systems. That is, how can one map a computational problem into the coefficients of an Ising-model Hamiltonian for solution by quantum-annealing hardware? In this article, we address that question primarily from a practical standpoint. We survey extant software tools intended for programming D-Wave annealing-based quantum processors and examine the programming model and solution technique promoted by each tool in an attempt to showcase the variety of contemporary approaches to solving computationally challenging problems on an existing annealing-based quantum computer.",69,0,0,1,6,1533-7146,,,AUG,2019,,,39,"Computer Science, Theory & Methods; Quantum Science & Technology; Physics, Particles & Fields; Physics, Mathematical",Computer Science; Physics,JC0KX,,2024-03-12,View Full Record in Web of Science
B,"Kasabov, N","Kasabov, Nikola","Brain, Gene, and Quantum Inspired Computational Intelligence",SPRINGER HANDBOOK OF BIO-/NEUROINFORMATICS,English,Article; Book Chapter,,FUZZY INFERENCE SYSTEM; EVOLUTIONARY ALGORITHMS; NETWORK,"This chapter discusses opportunities and challenges for the creation of methods of computational intelligence (CI) and more specifically artificial neural networks (ANN), inspired by principles at different levels of information processing in the brain: cognitive, neuronal, genetic, and quantum, and mainly, the issues related to the integration of these principles into more powerful and accurate CI methods. It is demonstrated how some of these methods can be applied to model biological processes and to improve our understanding in the subject area; generic CI methods being applicable to challenging generic AI problems. The chapter first offers a brief presentation of some principles of information processing at different levels of the brain and then presents brain inspired, gene inspired, and quantum inspired CI. The main contribution of the chapter, however, is the introduction of methods inspired by the integration of principles from several levels of information processing, namely: 1. A computational neurogenetic model that in one model combines gene information related to spiking neuronal activities. 2. A general framework of a quantum spiking neural network (SNN) model. 3. A general framework of a quantum computational neurogenetic model (CNGM). Many open questions and challenges are discussed, along with directions for further research.",65,0,0,0,2,,,978-3-642-30574-0; 978-3-642-30573-3,,2014,,10.1007/978-3-642-30574-0,16,"Computer Science, Artificial Intelligence; Robotics",Computer Science; Robotics,BH6EA,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Yamakami, T","Yamakami, Tomoyuki",Complexity Bounds of Constant-Space Quantum Computation,DEVELOPMENTS IN LANGUAGE THEORY (DLT 2015),English,Proceedings Paper,,FINITE AUTOMATA,"We model constant-space quantum computation as measure-many two-way quantum finite automata and evaluate their language recognition power by analyzing their behaviors and explore their properties. In particular, when the automata halt in finite steps, they must terminate in worst-case liner time. Even if all computation paths of bounded-error automata do not terminate, it suffices to focus only on computation paths that terminate after exponentially many steps. We present a classical simulation of those automata on multi-head probabilistic finite automata with cut points. Moreover, we discuss how the power of the automata varies as the automata's acceptance criteria change to error free, one-sided error, bounded error, and unbounded error.",16,0,0,0,0,0302-9743,,978-3-319-21500-6; 978-3-319-21499-3,,2015,10.1007/978-3-319-21500-6_34,http://dx.doi.org/10.1007/978-3-319-21500-6_34,13,"Computer Science, Theory & Methods; Mathematics; Logic",Computer Science; Mathematics; Science & Technology - Other Topics,BD8QJ,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Paltenghi, M; Pradel, M","Paltenghi, Matteo; Pradel, Michael",MorphQ: Metamorphic Testing of the Qiskit Quantum Computing Platform,"2023 IEEE/ACM 45TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING, ICSE",English,Proceedings Paper,,BUGS,"As quantum computing is becoming increasingly popular, the underlying quantum computing platforms are growing both in ability and complexity. Unfortunately, testing these platforms is challenging due to the relatively small number of existing quantum programs and because of the oracle problem, i.e., a lack of specifications of the expected behavior of programs. This paper presents MorphQ, the first metamorphic testing approach for quantum computing platforms. Our two key contributions are (i) a program generator that creates a large and diverse set of valid (i.e., non-crashing) quantum programs, and (ii) a set of program transformations that exploit quantum-specific metamorphic relationships to alleviate the oracle problem. Evaluating the approach by testing the popular Qiskit platform shows that the approach creates over 8k program pairs within two days, many of which expose crashes. Inspecting the crashes, we find 13 bugs, nine of which have already been confirmed. MorphQ widens the slim portfolio of testing techniques of quantum computing platforms, helping to create a reliable software stack for this increasingly important field.",40,1,1,2,2,0270-5257,,978-1-6654-5701-9,,2023,10.1109/ICSE48619.2023.00202,http://dx.doi.org/10.1109/ICSE48619.2023.00202,12,"Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,BV4JK,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Genç, HH; Aydin, S; Erdal, H","Genc, H. Hakan; Aydin, Serkan; Erdal, Hasan",Design of Virtual Reality Browser Platform for Programming of Quantum Computers via VR Headsets,"2ND INTERNATIONAL CONGRESS ON HUMAN-COMPUTER INTERACTION, OPTIMIZATION AND ROBOTIC APPLICATIONS (HORA 2020)",English,Proceedings Paper,Quantum computer; quantum composer; quantum circuit; cloud based software; virtual reality browsers,PHYSICS,"Quantum computers are expected to offer an effect similar to the influence of the early integrated circuit computers. According to current systems, it is predicted that they will play an effective role in the emergence of a stronger technology with an increasing speed. Some high-tech companies have quantum computer designs that they actively put into use from the research and development phase to the problem-solving phase and these computers use different architectures. Unlike the others, IBM launched a cloud-based software infrastructure in 2016 and first introduced its 5-qubit quantum computer, which consists of sequential quantum ports architecture, to the use of researchers and interested parties via its web servers. Programming is done by using quantum gates via a web interface called quantum composer. Significant progress has also been made in virtual reality technologies and virtual reality based browser platforms have been developed. In this paper, studies on the using and training of the IBM quantum composer platform through a browser designed on the basis of virtual reality are presented.",24,0,0,0,0,,,978-1-7281-9352-6,,2020,10.1109/hora49412.2020.9152931,http://dx.doi.org/10.1109/hora49412.2020.9152931,5,"Computer Science, Theory & Methods; Robotics",Computer Science; Robotics,BR3BW,,2024-03-12,View Full Record in Web of Science
C,"Guzik, V; Gushanskiy, S; Polenov, M; Potapov, V","Guzik, Vyacheslav; Gushanskiy, Sergey; Polenov, Maxim; Potapov, Victor","Models of a quantum computer, their characteristics and analysis",2015 9TH INTERNATIONAL CONFERENCE ON APPLICATION OF INFORMATION AND COMMUNICATION TECHNOLOGIES (AICT),English,Proceedings Paper,modeling; quantum computing; model; module; qubit; calculator; model of quantum computer,,"The paper studied the optimal approach to the implementation of models of quantum calculators, perform differentiation characteristics of quantum models of calculators to the appropriate functional groups included in the models. Detected characteristics of the models of quantum calculators and expected these characteristics software functionality of the model. Mathematical models and their advantages and disadvantages. Describe their main components and objects that they operate in.",3,8,8,0,3,2378-8232,2472-8586,978-1-4673-6855-1,,2015,,,5,"Computer Science, Information Systems; Engineering, Electrical & Electronic",Computer Science; Engineering,BF1KC,,2024-03-12,View Full Record in Web of Science
J,"Zhang, QY; Li, HL; Liu, YL; Ouyang, SR; Fang, CT; Mu, WT; Gao, H","Zhang, Quanyuan; Li, Haolun; Liu, Yanli; Ouyang, Shangrong; Fang, Caiting; Mu, Wentao; Gao, Hao",A new quantum particle swarm optimization algorithm for controller placement problem in software-defined networking,COMPUTERS & ELECTRICAL ENGINEERING,English,Article; Early Access,Software-defined networking; Controller placement problem; Quantum particle swarm algorithm; Convergence rate,,"As a new network control and management method for network, software-defined networking (SDN) algorithms have attracted more attention to make networks agile and flexible. To meet the requirements of users and conquer the physical limitation of network, it is necessary to design an efficient controller placement mechanism of SDN, which is defined as an optimization problem to determine the proper positions and number of its controllers. As a modern optimization tool, Quantum-behavior particle swarm optimization (QPSO) algorithm demonstrates power fast convergence rate but limits in global search ability. In this paper, by introducing a full search history and excellent dimension update strategy into the traditional QPSO algorithm which enhances its performance, simulation results show that the proposed algorithm achieves better performance in dozens of different multi-controller placement problems.",24,11,11,0,15,0045-7906,1879-0755,,2021 OCT,2021,10.1016/j.compeleceng.2021.107456,http://dx.doi.org/10.1016/j.compeleceng.2021.107456,12,"Computer Science, Hardware & Architecture; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic",Computer Science; Engineering,WA0XW,,2024-03-12,View Full Record in Web of Science
C,"Temporao, GP; Guerreiro, TBS; Ripper, PSC; Pavani, AMB","Temporao, Guilherme P.; Guerreiro, Thiago B. S.; Ripper, Pedro S. C.; Pavani, Ana M. B.",Teaching Quantum Computing without prerequisites: a case study,2022 IEEE INTERNATIONAL CONFERENCE ON QUANTUM COMPUTING AND ENGINEERING (QCE 2022),English,Proceedings Paper,quantum computing; blended learning; linear algebra; Qiskit,INTEGRATION,"We present the results of two semesters of a new undergraduate course on Quantum Computing for Fundamental Sciences and Engineering students. The course was taught employing a blended learning approach, with a combination of synchronous classes, asynchronous video lessons and projects using IBM's Qiskit framework. As the students did not need any prerequisites in order to enroll, we treated the whole course as applied linear algebra, and it turns out that quantum computing can become the gateway to quantum physics instead of the other way around.",12,3,3,1,1,,,978-1-6654-9113-6,,2022,10.1109/QCE53715.2022.00090,http://dx.doi.org/10.1109/QCE53715.2022.00090,4,"Computer Science, Theory & Methods; Quantum Science & Technology",Computer Science; Physics,BU3QX,,2024-03-12,View Full Record in Web of Science
J,"Heckey, J; Patil, S; JavadiAbhari, A; Holmes, A; Kudrow, D; Brown, KR; Franklin, D; Chong, FT; Martonosi, M","Heckey, Jeff; Patil, Shruti; JavadiAbhari, Ali; Holmes, Adam; Kudrow, Daniel; Brown, Kenneth R.; Franklin, Diana; Chong, Frederic T.; Martonosi, Margaret",Compiler Management of Communication and Parallelism for Quantum Computation,ACM SIGPLAN NOTICES,English,Article; Proceedings Paper,Quantum; LLVM; Compilers; Scheduling,ARCHITECTURE; REALIZATION; DESIGN,"Quantum computing (QC) offers huge promise to accelerate a range of computationally intensive benchmarks. Quantum computing is limited, however, by the challenges of decoherence: i.e., a quantum state can only be maintained for short windows of time before it decoheres. While quantum error correction codes can protect against decoherence, fast execution time is the best defense against decoherence, so efficient architectures and effective scheduling algorithms are necessary. This paper proposes the Multi-SIMD QC architecture and then proposes and evaluates effective schedulers to map benchmark descriptions onto Multi-SIMD architectures. The Multi-SIMD model consists of a small number of SIMD regions, each of which may support operations on up to thousands of qubits per cycle. Efficient Multi-SIMD operation requires efficient scheduling. This work develops schedulers to reduce communication requirements of qubits between operating regions, while also improving parallelism. We find that communication to global memory is a dominant cost in QC. We also note that many quantum benchmarks have long serial operation paths (although each operation may be data parallel). To exploit this characteristic, we introduce Longest-Path-First Scheduling (LPFS) which pins operations to SIMD regions to keep data in-place and reduce communication to memory. The use of small, local scratchpad memories also further reduces communication. Our results show a 3% to 308% improvement for LPFS over conventional scheduling algorithms, and an additional 3% to 64% improvement using scratchpad memories. Our work is the most comprehensive software-to-quantum toolflow published to date, with efficient and practical scheduling techniques that reduce communication and increase parallelism for full-scale quantum code executing up to a trillion quantum gate operations.",52,33,44,0,3,0362-1340,1558-1160,,APR,2015,10.1145/2775054.2694357,http://dx.doi.org/10.1145/2775054.2694357,12,"Computer Science, Software Engineering",Computer Science,DE8GW,,2024-03-12,View Full Record in Web of Science
C,"Poggel, B; Quetschlich, N; Burgholzer, L; Wille, R; Lorenz, JM","Poggel, Benedikt; Quetschlich, Nils; Burgholzer, Lukas; Wille, Robert; Lorenz, Jeanette Miriam",Recommending Solution Paths for Solving Optimization Problems with Quantum Computing,"2023 IEEE INTERNATIONAL CONFERENCE ON QUANTUM SOFTWARE, QSW",English,Proceedings Paper,quantum computing; applied optimization; hybrid quantum-classical algorithms; variational quantum algorithms; design automation; abstraction layer,,"Solving real-world optimization problems with quantum computing requires choosing between a large number of options concerning formulation, encoding, algorithm and hardware. Finding good solution paths is challenging for end users and researchers alike. We propose a framework designed to identify and recommend the best-suited solution paths in an automated way. This introduces a novel abstraction layer that is required to make quantum-computing-assisted solution techniques accessible to end users without requiring a deeper knowledge of quantum technologies. State-of-the-art hybrid algorithms, encoding and decomposition techniques can be integrated in a modular manner and evaluated using problem-specific performance metrics. Equally, tools for the graphical analysis of variational quantum algorithms are developed. Classical, fault tolerant quantum and quantum-inspired methods can be included as well to ensure a fair comparison resulting in useful solution paths. We demonstrate and validate our approach on a selected set of options and illustrate its application on the capacitated vehicle routing problem (CVRP). We also identify crucial requirements and the major design challenges for the proposed abstraction layer within a quantum-assisted solution workflow for optimization problems.",32,0,0,0,0,,,979-8-3503-0479-4,,2023,10.1109/QSW59989.2023.00017,http://dx.doi.org/10.1109/QSW59989.2023.00017,8,"Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,BV6UG,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Kashif, M; Al-Kuwari, S","Kashif, Muhammad; Al-Kuwari, Saif",Qiskit As a Simulation Platform for Measurement-based Quantum Computation,2022 IEEE 19TH INTERNATIONAL CONFERENCE ON SOFTWARE ARCHITECTURE COMPANION (ICSA-C 2022),English,Proceedings Paper,Quantum computing; Measurement-based quantum computation; one-way quantum computer; Qiskit; Qubit measurements; Quantum gates; Grover's algorithm,STATE,"Universal quantum computation is anticipated to provide solutions to classically intractable problems. Measurement-based quantum computation (MBQC) is one of the leading candidates to achieve universal quantum computation. In MBQC, the development of the underlying quantum algorithms is governed by single-qubit measurements on a highly entangled cluster state of qubits. Recent advances in MBQC mainly explore the physical aspects of MBQC (i.e. Physical development of cluster states) and as most of the simulators that exist today are for the gate-based model of quantum computation, and to date, there is no MBQC-dedicated simulator for MBQC-based algorithmic development. This paper exploits a well-maintained, and popular gate-based simulation framework developed by IBM called Qiskit to design MBQC-based quantum algorithms. We implement various gates, including Hadamard, and CNOT gates, to demonstrate the universality of MBQC in Qiskit. We also demonstrate MBCQ-based algorithm development in Qiskit by implementing MBQC-based teleportation protocol and Grover's algorithm. The objective of this exercise is to demonstrate that the existing gate-based simulators can be used for developing MBQC-based quantum designs, which would help the research community in exploring the advantages that MBQC can offer compared to other quantum computation models.",28,1,1,0,4,,,978-1-6654-9493-9,,2022,10.1109/ICSA-C54293.2022.00037,http://dx.doi.org/10.1109/ICSA-C54293.2022.00037,8,"Computer Science, Hardware & Architecture; Computer Science, Software Engineering",Computer Science,BT5WB,,2024-03-12,View Full Record in Web of Science
J,"McGeoch, CC","McGeoch, Catherine C.",Theory versus practice in annealing-based quantum computing,THEORETICAL COMPUTER SCIENCE,English,Article,Quantum computing; Adiabatic quantum computing; Quantum annealing; Models of computation,ADIABATIC EVOLUTION; COMPUTATION; ALGORITHMS; MODELS,"This paper introduces basic concepts of annealing-based quantum computing, also known as adiabatic quantum computing (AQC) and quantum annealing (QA), and surveys what is known about this novel computing paradigm. Extensive empirical research on physical quantum annealing processers built by D-Wave Systems has exposed many interesting features and properties. However, because of longstanding differences between abstract and empirical approaches to the study of computational performance, much of this work may not be considered relevant to questions of interest to complexity theory; by the same token, several theoretical results in quantum computing may be considered irrelevant to practical experience. To address this communication gap, this paper proposes models of computation and of algorithms that lie on a scale of instantiation between pencil-and-paper abstraction and physical device. Models at intermediate points on these scales can provide a common language, allowing researchers from both ends to communicate and share their results. The paper also gives several examples of common terms that have different technical meanings in different regions of this highly multidisciplinary field, which can create barriers to effective communication across disciplines. (C) 2020 Elsevier B.V. All rights reserved.",69,29,29,1,15,0304-3975,1879-2294,,MAY 6,2020,10.1016/j.tcs.2020.01.024,http://dx.doi.org/10.1016/j.tcs.2020.01.024,15,"Computer Science, Theory & Methods",Computer Science,LA9UG,,2024-03-12,View Full Record in Web of Science
C,"Silva, A; Zabaleta, OG","Silva, Agustin; Gustavo Zabaleta, Omar",FPGA Quantum Computing Emulator Using High Level Design Tools,2017 EIGHT ARGENTINE SYMPOSIUM AND CONFERENCE ON EMBEDDED SYSTEMS (CASE),English,Proceedings Paper,,,"Although, there have been considerable advances in quantum technology, a great scale quantum computer will not be available until about a few years. In the meantime, it requires quantum emulators which allow to study the existing quantum algorithms and the design of new ones. We propose a flexible method to emulate quantum circuits which reduces design and processing time. In this context, we propose a design framework that takes advantage of field-programmable gate array (FPGA) parallel processing technology in combination with high-level programming tools provided by Vivado (R). In order to show the design method working Quantum Fourier Transform (QFT) is implemented. Every step of the design is described and circuit performance is studied for different cases of input vector data sizes.",17,9,9,0,0,,,978-987-46297-1-5,,2017,,,6,"Computer Science, Theory & Methods; Engineering, Electrical & Electronic",Computer Science; Engineering,BJ2GH,,2024-03-12,View Full Record in Web of Science
C,"Schmale, T; Temesi, B; Trittschanke, N; Pulido-Mateo, N; Elenskiy, I; Krinner, L; Dubielzig, T; Ospelkaus, C; Weimer, H; Borcherding, D","Schmale, Tobias; Temesi, Bence; Trittschanke, Niko; Pulido-Mateo, Nicolas; Elenskiy, Ilya; Krinner, Ludwig; Dubielzig, Timko; Ospelkaus, Christian; Weimer, Hendrik; Borcherding, Daniel",Real-time hybrid quantum-classical computations for trapped ions with Python control-flow,"2023 IEEE INTERNATIONAL CONFERENCE ON QUANTUM SOFTWARE, QSW",English,Proceedings Paper,Quantum Computing; Hybrid Quantum-Classical Computation; Trapped Ions,,"In recent years, the number of hybrid algorithms that combine quantum and classical computations has been continuously increasing. These two approaches to computing can mutually enhance each others' performances thus bringing the promise of more advanced algorithms that can outmatch their pure counterparts. In order to accommodate this new class of codes, a proper environment has to be created, which enables the interplay between the quantum and classical hardware. For many of these hybrid processes the coherence time of the quantum computer arises as a natural time constraint, making it crucial to minimize the classical overhead. For ion-trap quantum computers however, this is a much less limiting factor than with superconducting technologies, since the relevant timescale is on the order of seconds instead of microseconds. In fact, we show that the operating time-scales of trapped-ion quantum computers are compatible with the execution speed of the Python programming language, enabling us to develop an interpreted scheme for real-time control of quantum computations. In particular, compilation of all instructions in advance is not necessary, unlike with superconducting qubits. This keeps the implementation of hybrid algorithms simple and also lets users benefit from the rich environment of existing Python libraries. In order to show that this approach of interpreted quantum-classical computations (IQCC) is feasible, we bring real-world examples and evaluate them in realistic benchmarks.",31,0,0,2,2,,,979-8-3503-0479-4,,2023,10.1109/QSW59989.2023.00031,http://dx.doi.org/10.1109/QSW59989.2023.00031,7,"Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,BV6UG,Green Submitted,2024-03-12,View Full Record in Web of Science
