(internal) id,(source) id,pubmed id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,thecap,labeled_at,general notes (thecap)
39872588,10.1117/12.2632782,0,Nuclear Structure; Quantum Computing,"Calculations of nuclear properties and nuclear models are peformed using quantum computing algorithms on simulated and real quantum computers. The models are a realistic calculation of deuteron binding based on effective field theory, and a simplified two-level version of the nuclear shell model. A method of reducing the number of qubits needed for practical calculation is presented, the reduction being with respect to that used when the standard Jordan-Wigner encoding is used. Its efficacy is shown in the case of the deuteron binding and shell model. A version of the variational quantum eigensolver in which all eigenstates in a spectrum are targetted on an equal basis is shown. The method involves finding the minima of the variance of the Hamiltonian, and its ability to find the full spectrum of small version of the simplified shell model is presented. ? 2022 SPIE.",Quantum Computing Calculations for Nuclear Structure and Nuclear Data,Proceedings of SPIE - The International Society for Optical Engineering,Hobday I.; Stevenson P.D.; Benstead J.,,o,,-1,2024-02-18 17:10:48,
39872589,10.1109/JPROC.2018.2,0,,"We have ubiquitous presence of computers today, ranging from simple controllers in modern appliances to smartphones in our pockets that provide a wide range of everyday services, to powerful supercomputers and large data centers that carry out the most computationally intensive tasks. These computational machines have a few things in common: for example, the information they handle is stored in bits (0 or 1), and the procedure for processing the information is specified by a program. A great deal is known about the limits of what such computational machines can and cannot do efficiently. There are many important computational problems that are believed to be very difficult to solve using even the most powerful computers, where the resource requirement - whether it is the size of the machine or the time it takes to finish the task - increases exponentially as a function of the problem size. ? 1963-2012 IEEE.",An Outlook for Quantum Computing [Point of View],Proceedings of the IEEE,Maslov D.; Nam Y.; Kim J.,,o,,-1,2024-02-18 17:12:25,
39872590,10.1109/ECAI46879.20,0,FPGA; Grover algorithm; Quantum computing,"The system proposed in this paper will be used to implement the Groove quantum computation search algorithm: look in a content addressable memory and find location for a data. Unlike other solutions implemented in FPGA, our solution is trying to achieve the performance of a quantum computing system on resources allocated and search speed. ? 2019 IEEE.",A solution to implement Grover quantum computation algorithm using the binary representation of the phase on the FPGA,"Proceedings of the 11th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2019",Ionescu L.-M.; Mazare A.G.; Serban G.; Ioan L.; Visan D.,,o,,-1,2024-02-18 17:16:26,
39872591,10.1109/MC.2018.3971,0,chandelier; DiVincenzo criteria; flying-wired integrated circuit; Moore's law; quantum computing; qubit; Rebooting Computing; scalability,Quantum computers are creating buzz from Silicon Valley to the halls of Congress. But the hardware has only been prototyped at small scale. Could applying the engineering processes used to scale up semiconductors also accelerate quantum computer development? ? 1970-2012 IEEE.,Quantum computer scale-up,Computer,Debenedictis E.P.; Humble T.S.; Gargini P.A.,,o,,-1,2024-02-18 17:19:04,
39872592,10.1002/978111975075,0,,"Explore the intersection of computer science, physics, and electrical and computer engineering with this discussion of the engineering of quantum computersIn Principles of Superconducting Quantum Computers, a pair of distinguished researchers delivers a comprehensive and insightful discussion of the building of quantum computing hardware and systems. Bridging the gaps between computer science, physics, and electrical and computer engineering, the book focuses on the engineering topics of devices, circuits, control, and error correction.Using data from actual quantum computers, the authors illustrate critical concepts from quantum computing. Questions and problems at the end of each chapter assist students with learning and retention, while the text offers descriptions of fundamentals concepts ranging from the physics of gates to quantum error correction techniques.The authors provide efficient implementations of classical computations, and the book comes complete with a solutions manual and demonstrations of many of the concepts discussed within. It also includes:A thorough introduction to qubits, gates, and circuits, including unitary transformations, single qubit gates, and controlled (two qubit) gatesComprehensive explorations of the physics of single qubit gates, including the requirements for a quantum computer, rotations, two-state systems, and Rabi oscillationsPractical discussions of the physics of two qubit gates, including tunable qubits, SWAP gates, controlled-NOT gates, and fixed frequency qubits. In-depth examinations of superconducting quantum computer systems, including the need for cryogenic temperatures, transmission lines, S parameters, and moreIdeal for senior-level undergraduate and graduate students in electrical and computer engineering programs, Principles of Superconducting Quantum Computers also deserves a place in the libraries of practicing engineers seeking a better understanding of quantum computer systems. ? 2022 by John Wiley & Sons, Inc. All rights reserved.",Principles of Superconducting Quantum Computers,Principles of Superconducting Quantum Computers,Stancil D.D.; Byrd G.T.,,o,,-1,2024-02-18 17:20:23,
39872593,10.1002/qute.2019000,0,efficient algorithm; GHZ states; multipartite entanglement; quantum computer; quantum networks,"Efficient deterministic algorithms are proposed with logarithmic step complexities for the generation of entangled (Formula presented.) and (Formula presented.) states useful for quantum networks, and an implementation on the IBM quantum computer up to (Formula presented.) is demonstrated. Improved quality is then investigated using full quantum tomography for low-N GHZ and W states. This is completed by parity oscillations and histogram distance for large-N GHZ and W states, respectively. Robust states are built with about twice the number of quantum bits which were previously achieved. ? 2019 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","Efficient Quantum Algorithms for GHZ and W States, and Implementation on the IBM Quantum Computer",Advanced Quantum Technologies,Cruz D.; Fournier R.; Gremion F.; Jeannerot A.; Komagata K.; Tosic T.; Thiesbrummel J.; Chan C.L.; Macris N.; Dupertuis M.-A.; Javerzac-Galy C.,,o,,-1,2024-02-18 17:20:56,
39872594,10.1109/IEMTRONICS52,0,Copenhagen Interpretation of Quantum Mechanics; Heisenberg's Uncertainty Principle; Planck's Constant; Quantum Computation; Schrodinger's Wave Equation; Speed of Light; Symmetrical-Model of Light,"Quantum computation as currently conceived is based on the largely unproven Copenhagen Interpretation of Quantum Mechanics. By viewing light as a multi-layered, symmetrical construct though, it is possible to interpret quantum-level dynamics assumed as fundamental, differently. Hence, looking at Schrodinger's Wave Equation and Heisenberg's Uncertainty Principle from the point of view of light, it becomes possible to understand quantum-level dynamics as an outcome of a multi-layered, symmetry-based model of light. Such a different view of quantum-level dynamics suggests a different way to conceive of quantum computation. As such, Schrodinger's Wave Equation can be viewed as an arbitration to take information from behind the quantum-veil that may exist in antecedent layers of light, and through such arbitration or rate of change of the wave-function, compute it into material existence. Heisenberg's Uncertainty Principle suggests that meta-level function seeking to precipitate or to be arbitrated into material existence may take different form while still fulfilling the intent of the meta-level function. Quantum computation, therefore, can be conceived as a creative as opposed to a solely constructive process. The object of quantum computation in such an interpretation of quantum phenomena is nothing other than to continue to create something new, or to continue to enhance materialization of meta-level function, rather than to simply construct based on regurgitating programming-based instruction. ? 2021 IEEE.",A light-based interpretation of schrodinger's wave equation and heisenberg's uncertainty principle with implications on quantum computation,"2021 IEEE International IOT, Electronics and Mechatronics Conference, IEMTRONICS 2021 - Proceedings",Malik P.,,o,,-1,2024-02-18 17:22:56,
39872595,10.32604/cmc.2022.02,0,competitive learning; Quantum neural network; quantum robots; swap test,"In this paper, we propose a novel algorithm based on Zidan?s quantum computing model for remotely controlling the direction of a quantum-controlled mobile robot equipped with n-movements. The proposed algorithm is based on the measurement of concurrence value for the different movements of the robot. Consider a faraway robot that moves in the deep space (e.g., moves toward a galaxy), and it is required to control the direction of this robot from a ground station by some person Alice. She sends an unknown qubit ? |0 + ? |1 via the teleportation protocol to the robot. Then, the proposed algorithm decodes the received unknown qubit into an angle ?, that determines the motion direction of the robot, based on the concurrence value. The proposed algorithm has been tested for four and eight movements. Two simulators have been tested; IBM Quantum composer and IBM?s system, The two simulators achieved the same result approximately. The motion of any part of the robot is considered, if it has a pre-existing sensor system and a locomotive system,. We can use this technique in many places like in space robots (16 directions). The results show that the proposed technique can be easily used for a huge number of movements. However, increasing the number of movements of the robot will increase the number of qubits. ? 2022 Tech Science Press. All rights reserved.",Controlling Remote Robots Based on Zidan?s Quantum Computing Model,"Computers, Materials and Continua",Panda B.; Tripathy N.K.; Sahu S.; Behera B.K.; Elhady W.E.,,o,,-1,2024-02-18 17:26:51,
39872596,10.1109/CSCI58124.20,0,AI; artificial intelligence; cybersecurity; quantum computing,"This paper considers the impact of using artificial intelligence and quantum computing as part of a cyber defense strategy and the deterrence, defense, and offensive capabilities that it provides. A model for this is presented and discussed. ? 2022 IEEE.","Considering the Implications of Artificial Intelligence, Quantum Computing, and Cybersecurity","Proceedings - 2022 International Conference on Computational Science and Computational Intelligence, CSCI 2022",Rosch-Grace D.; Straub J.,,o,,1,2024-02-18 17:27:00,
39872597,10.1007/s11128-023-0,0,GPU; Many-core; Quantum computing simulation,"Quantum computing is an emerging and promising computational paradigm that provides substantial speedup for a variety of tasks such as integer factorization, database search, and machine learning. One of the quantum computation features is the possibility of developing quantum algorithms, which could be faster than algorithms developed for classic computers. However, we are still unable to fully realize a physical quantum computer and depend on traditional computers to simulate their behavior and test quantum algorithms. This is a source of complexity since one of the challenges to simulate quantum algorithms is the exponential memory requirement. In this work, we propose a method to distribute the computation load of the simulation process between CPU and GPU to decrease the required memory and computation time. In this approach, we employ a hybrid platform, which simulates the quantum circuit in two phases using parallel array-based and recursive manners. The experimental results demonstrate speedups of 50X over the recursive method implemented on a GPU and 2.9X over the state vector method running on a multi-core CPU. Our approach is more than 10X energy-efficient for simulating 39 qubits compared to the GPU state-of-the-art technique. All in all, this approach is able to simulate more qubits over state-of-the-art GPU approaches and can be used to analyze and simulate large quantum circuits with a low-cost system instead of an expensive supercomputer. ? 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Fast and scalable quantum computing simulation on multi-core and many-core platforms,Quantum Information Processing,Ahmadzadeh A.; Sarbazi-Azad H.,,o,,-1,2024-02-18 17:29:06,
39872598,10.1007/s42484-019-0,0,Bayesian methods; Experimental quantum computing; Quantum algorithms; Quantum computing; Quantum-enhanced AI,"Bayesian methods in machine learning, such as Gaussian processes, have great advantages compared to other techniques. In particular, they provide estimates of the uncertainty associated with a prediction. Extending the Bayesian approach to deep architectures has remained a major challenge. Recent results connected deep feedforward neural networks with Gaussian processes, allowing training without backpropagation. This connection enables us to leverage a quantum algorithm designed for Gaussian processes and develop a new algorithm for Bayesian deep learning on quantum computers. The properties of the kernel matrix in the Gaussian process ensure the efficient execution of the core component of the protocol, quantum matrix inversion, providing at least a polynomial speedup over classical algorithms. Furthermore, we demonstrate the execution of the algorithm on contemporary quantum computers and analyze its robustness with respect to realistic noise models. ? 2019, Springer Nature Switzerland AG.",Bayesian deep learning on a quantum computer,Quantum Machine Intelligence,Zhao Z.; Pozas-Kerstjens A.; Rebentrost P.; Wittek P.,,o,,-1,2024-02-18 17:30:57,
39872599,10.3390/sym14050915,0,algebraic surfaces; aperiodicity; magic state quantum computing; SL<sub>2</sub> (C) character varieties; topological quantum computing,"It is shown that the representation theory of some finitely presented groups thanks to their SL2 (C) character variety is related to algebraic surfaces. We make use of the Enriques?Kodaira classification of algebraic surfaces and related topological tools to make such surfaces explicit. We study the connection of SL2 (C) character varieties to topological quantum computing (TQC) as an alternative to the concept of anyons. The Hopf link H, whose character variety is a Del Pezzo surface fH (the trace of the commutator), is the kernel of our view of TQC. Qutrit and two-qubit magic state computing, derived from the trefoil knot in our previous work, may be seen as TQC from the Hopf link. The character variety of some two-generator Bianchi groups, as well as that of the fundamental group for the singular fibers ?6 and ?D4 contain fH . A surface birationally equivalent to a K3 surface is another compound of their character varieties. ? 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Character Varieties and Algebraic Surfaces for the Topology of Quantum Computing,Symmetry,Planat M.; Amaral M.M.; Fang F.; Chester D.; Aschheim R.; Irwin K.,,o,,-1,2024-02-18 17:32:06,
39872600,10.1007/s11128-021-0,0,Amplitude estimation; Depolarizing noise; IBM quantum systems; Maximum likelihood estimation; Quantum computing,"Recently we find several candidates of quantum algorithms that may be implementable in near-term devices for estimating the amplitude of a given quantum state, which is a core subroutine in various computing tasks such as the Monte Carlo methods. One of those algorithms is based on the maximum likelihood estimate with parallelized quantum circuits. In this paper, we extend this method so that it incorporates the realistic noise effect, and then give an experimental demonstration on a superconducting IBM Quantum device. The maximum likelihood estimator is constructed based on the model assuming the depolarization noise. We then formulate the problem as a two-parameters estimation problem with respect to the target amplitude parameter and the noise parameter. In particular we show that there exist anomalous target values, where the Fisher information matrix becomes degenerate and consequently the estimation error cannot be improved even by increasing the number of amplitude amplifications. The experimental demonstration shows that the proposed maximum likelihood estimator achieves quantum speedup in the number of queries, though the estimation error saturates due to the noise. This saturated value of estimation error is consistent to the theory, which implies the validity of the depolarization noise model and thereby enables us to predict the basic requirement on the hardware components (particularly the gate error) in quantum computers to realize the quantum speedup in the amplitude estimation task. ? 2021, The Author(s).",Amplitude estimation via maximum likelihood on noisy quantum computer,Quantum Information Processing,Tanaka T.; Suzuki Y.; Uno S.; Raymond R.; Onodera T.; Yamamoto N.,,o,,-1,2024-02-18 17:37:01,
39872601,10.1007/978-981-19-9,0,,"Quantum computing has become a new buzzword in recent years. Although quantum computing techniques have been available in the literature for the past 40 or more years, the desire for real-time implementation of such quantum computing techniques has become possible due to the ongoing superspeed development of quantum computers by multinational corporations. Albeit, only 40 qubits quantum computer has been developed to date. Still, the pathway of big corporations reveals that by the end of this decade, a full-fledged quantum computer will be available in the market for everyone. Quantum computing uses quantum key distribution for quantum communication. It is expected that quantum computing and quantum communication will completely change the workflow of many industries. Studies are also predicting that the market demand for the quantum computing industry will be in multi-trillion dollars as early as 2030. Besides, the perspective of researchers has been drastically changing due to the plethora of opportunities brought forth by quantum computing for data processing and data encryption tasks. The quantum computer is deep-rooted in uncertainty principle, and probability theories thereby prohibit the copying and replicating of quantum information. Consequently, the guarantee of unconditional security for transmitted data is ensured, otherwise impossible. Generally, transmitted data are hacked due to attackers? generation of keys replica. We may note that despite quantum computing being in a nascent stage, it possesses the potential to change internet activities by speeding up many tasks. Many day-to-day activities of many industries like finance, healthcare, and security will unseal imperceptible abilities. Furthermore, many big corporations invest in developing quantum computers and open-source tools to enable the development of quantum programs running on quantum computers. Also, community-driven activities are accomplished to upgrade the skills of current software developers to make them ready with appropriate skills for the development of future quantum software, which will run on large bits quantum computers. In this direction, Microsoft Incorporation has not only developed a quantum development kit (QDK) but also provides cloud-based quantum computing as a service, namely Azure Quantum, for developing and testing new quantum programs for the community. The newly designed quantum programs can now be simulated locally or run on the real quantum computer through Azure Quantum. Consequently, this chapter introduces the what, when, and why?s of quantum computing. Also, this chapter presents all necessary tools (with detailed installation and execution steps) required by the quantum developer for the possible development of a quantum program. ? 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Quantum Programming on?Azure Quantum?An Open Source Tool for?Quantum Developers,Studies in Computational Intelligence,Prateek K.; Maity S.,book,o,,1,2024-02-18 17:40:27,this chapter book seems relevant
39872602,10.1007/s11227-020-0,0,Arithmetic unit; Multiplexer; NAND gate; Nanotechnology; Quantum-dot cellular automata,"Quantum-dot cellular automata (QCAs) are one of the most significant state-of-the-art technologies that have exhibited the potential to replace the complementary metal oxide semiconductor. QCA offers a variety of benefits over its conventional counterpart, including size, latency, and energy consumption. Meanwhile, multiplexers are crucial to the design of arithmetic and logic circuits, and NOT-AND (NAND) gates are universal gates that allow the design of any circuit. In this paper, we propose a new multiplexer based on three NAND gates in QCA. De Morgan's law is used to derive new equations and to design multiplexers using only NAND logics. The proposed circuit is designed and verified not only to minimize time and space complexity but also to minimize energy loss. Finally, we design an arithmetic circuit that is capable of performing various operations using the proposed multiplexer. ? 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Designing nanotechnology QCA?multiplexer using majority function-based NAND for quantum computing,Journal of Supercomputing,Jeon J.-C.,,o,,-1,2024-02-18 17:41:25,
39872603,10.1038/s41534-021-0,0,,"Incorporating protection against quantum errors into adiabatic quantum computing (AQC) is an important task due to the inevitable presence of decoherence. Here, we investigate an error-protected encoding of the AQC Hamiltonian, where qubit ensembles are used in place of qubits. Our Hamiltonian only involves total spin operators of the ensembles, offering a simpler route towards error-corrected quantum computing. Our scheme is particularly suited to neutral atomic gases where it is possible to realize large ensemble sizes and produce ensemble-ensemble entanglement. We identify a critical ensemble size Nc where the nature of the first excited state becomes a single particle perturbation of the ground state, and the gap energy is predictable by mean-field theory. For ensemble sizes larger than Nc, the ground state becomes protected due to the presence of logically equivalent states and the AQC performance improves with N, as long as the decoherence rate is sufficiently low. ? 2021, The Author(s).",Error suppression in adiabatic quantum computing with qubit ensembles,npj Quantum Information,Mohseni N.; Narozniak M.; Pyrkov A.N.; Ivannikov V.; Dowling J.P.; Byrnes T.,,o,,-1,2024-02-18 17:41:49,
39872604,10.1109/TNB.2021.313,0,Data structures and algorithms; molecular algorithms; NP-complete problems; quantum algorithms,"In this paper, we propose a bio-molecular algorithm with O(n2) biological operations, O(2n-1) DNA strands, O(n) tubes and the longest DNA strand, O(n), for inferring the value of a bit from the only output satisfying any given condition in an unsorted database with 2n items of n bits. We show that the value of each bit of the outcome is determined by executing our bio-molecular algorithm n times. Then, we show how to view a bio-molecular solution space with 2n-1 DNA strands as an eigenvector and how to find the corresponding unitary operator and eigenvalues for inferring the value of a bit in the output. We also show that using an extension of the quantum phase estimation and quantum counting algorithms computes its unitary operator and eigenvalues frombio-molecularsolution spacewith 2n-1 DNA strands.Next,we demonstrate that the value of each bit of the output solution can be determined by executing the proposed extended quantum algorithms n times. To verify our theorem, we find the maximum-sized clique to a graph with two vertices and one edge and the solution b that satisfies b2 1 (mod 15) and 1 b (15/2) using IBM Quantum s backend.  ? 2002-2011 IEEE.",Quantum Speedup for Inferring the Value of Each Bit of a Solution State in Unsorted Databases Using a Bio-Molecular Algorithm on IBM Quantum's Computers,IEEE Transactions on Nanobioscience,Chang W.-L.; Chung W.-Y.; Hsiao C.-Y.; Wong R.; Chen J.-C.; Feng M.; Vasilakos A.V.,,o,,-1,2024-02-18 17:42:23,
