(internal) id,(source) id,pubmed id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,thecap,labeled_at,general notes (thecap),population notes (thecap),intervention/comparator notes (thecap),outcome notes (thecap)
40690665,http://dx.doi.org/10,0,"HALIDE PEROVSKITE NANOCRYSTALS; LIGAND-MEDIATED SYNTHESIS; SINGLE-PHOTON EMISSION; LIGHT-EMITTING-DIODES; DYNAMICAL PROPERTIES; COLLOIDAL SYNTHESIS; ELECTRON INJECTION; OPTICAL-PROPERTIES; ANION-EXCHANGE; LEAD","Trioctylphosphine (TOP)-based syntheses of CsPbI3 perovskite quantum dots (QDs) yield unprecedented high photoluminescence quantum yield (PL QY), lower Stokes shifts, and longer carrier lifetimes due to their enhanced crystallinity. This synthetic route relies on a heavily Pb-rich condition or a large Pb:Cs molar ratio in precursor solution to produce QDs with appropriate stoichiometry as well as to guarantee a good colloidal stability. The high Pb condition is achieved by a high concentration of PbI2 prepared in TOP. Here we find such Pb-rich strategies can be avoided by providing additional iodine ions using other metal halide salts. In particular GeI2, which contrary to PbI2, readily dissolves in TOP. CsPbI3 QDs prepared using PbI2/GeI2 combination show near-unity PL QY and improved chemical stability compared to the previous synthetic route. Furthermore, we find no sign of Ge incorporation in the QDs (compositionally or energetically). The ensuing QD solar-cells deliver power conversion efficiency of 12.15% and retain 85% of its peak performance after storage over 90 days. The PbI2/GeI2 dual-source iodine synthetic approach presented here represents a more rational and robust route to high-quality CsPbI3 QDs.","Gel2 Additive for High Optoelectronic Quality CsPbl3 Quantum Dots and Their Application in Photovoltaic Devices","AMER CHEMICAL SOC","Liu and  F; Ding and  C; Zhang and  YH; Karnisaka and  T; Zhao and  Q; Luther and  JM; Toyoda and  T; Hayase and  S; Minemoto and  T; Yoshino and  K; Zhang and  B; Dai and  S; Jiang and  JK; Tao and  SX; Shen and  Q","",o,,-1,2024-03-31 20:12:21,,,,
40690666,http://dx.doi.org/10,0,"","The recent observation of Weyl fermions in the itinerant 4d ferromagnetic perovskite SrRuO3 points to this material being a good platform for exploring novel physics related to a pair of Weyl nodes in epitaxial heterostructures. In this Letter, we report the thickness-dependent magnetotransport properties of ultra-high-quality epitaxial SrRuO3 films grown under optimized conditions on SrTiO3 substrates. Signatures of Weyl fermion transport, i.e., unsaturated linear positive magnetoresistance accompanied by a quantum oscillation having a high quantum mobility of 10 000cm(2)/Vs and a pi Berry phase, were observed in films with thicknesses as small as 10nm. Residual resistivity increased with the decreasing film thickness indicating disorder near the interface between SrRuO3 and the SrTiO3 substrate. Since this disorder affects the magnetic and electrical properties of the films, the Curie temperature decreases and the coercive field increases with the decreasing thickness. Thickness-dependent magnetotransport measurements revealed that the threshold residual resistivity ratio to observe Weyl fermion transport is 21. These results provide guidelines for realizing quantum transport of Weyl fermions in SrRuO3 near heterointerfaces.","Thickness-dependent quantum transport of Weyl fermions in ultra-high-quality SrRuO3 films","AMER INST PHYSICS","Kaneta-Takada and  S; Wakabayashi and  YK; Krockenberger and  Y; Ohya and  S; Tanaka and  M; Taniyasu and  Y; Yamamoto and  H","",o,,-1,2024-03-31 20:17:22,,,,
40690667,http://dx.doi.org/10,0,"atom force microscopy; double crystal X-ray diffractometry; photoluminescence; MOCVD; multiple quantum wells; nitrides","Different InGaN/GaN multi quantum wells (MQWs) structures were grown by metalorganic chemical vapor deposition (MOCVD). Samples were investigated by photoluminescence (PL), atom force microscopy (AFM) and double crystal X-ray diffractometry (DCXRD) to character their optical, morphological and crystal properties. By inserting the strain relief layer, the PL intensity was increased more than two times. The surface morphology was improved and the density of V-pits was reduced from 16-18 x 10(8) to 6-7 x 10(8)/cm(2). Further, the interface abruptness was also improved. We attributed the improvements of the quality of InGaN/GaN MQWs to the relief of strain in the InGaN/GaN MQWs. (c) 2005 Elsevier B.V. All rights reserved.","Improved quality of InGaN/GaN multiple quantum wells by a strain releif layer","ELSEVIER SCIENCE BV","Niu and  NH; Wang and  HB; Liu and  JP; Liu and  NX; Xing and  YH; Han and  J; Deng and  J; Shen and  GD","",o,,-1,2024-03-31 20:17:26,,,,
40690668,http://dx.doi.org/10,0,"ROOM-TEMPERATURE; ACTIVE-REGION; OPERATION; 1.28-MU-M; VCSELS","Molecular-beam-epitaxy growth of high structural and optical-quality InGaAsN/GaAs quantum wells (QW) has been investigated. The material quality can be improved significantly by using low-temperature growth to suppress the phase separation. High-performance ridge-waveguide InGaAsN/GaAs single QW lasers emitting at 1.3 mum have been demonstrated. Infinite-cavity-length threshold-current density of 400 A /cm(2), internal quantum efficiency of 96%. and a slope efficiency of 0.67 W/A for a cavity length L=1 mm were obtained. A TO46 packaging laser shows sin-le lateral-mode kink-free output power of more than 200 mW with a maximum total wallplug efficiency of 29% at room temperature under continuous wave (cw) operation. Moreover. 1.3 Am InGaAsN/GaAs QW vertical-cavity surface-emitting lasers with a threshold current density lower than 2 KA/cm(2) at room temperature have been achieved. We obtained multimode cw output power and slope efficiency in excess of 1 mW and 0.15 W/A. respectively. (C) 2004 American Vacuum Society.","Molecular-beam-epitaxy growth of high-quality InGaAsN/GaAs quantum well lasers emitting at 1.3 ??m","A V S AMER INST PHYSICS","Wang and  JS; Hsiao and  RS; Lin and  G; Lin and  KF; Liu and  HY; Lai and  CM; Wei and  L; Liang and  CY; Chi and  JY; Kovsh and  AR; Maleev and  NA; Livshits and  DA; Chen and  JF; Yu and  HC; Ustinov and  VM","",o,,-1,2024-03-31 20:17:29,,,,
40690669,https%3A%2F%2Fwww.we,0,"Quantum Computing; Parameterized Quantum Circuits; Fidelity; Decoherence; Noise","The public access to noisy intermediate-scale quantum (NISQ) computers facilitated by IBM, Rigetti, D-Wave, etc., has propelled the development of quantum applications that may offer quantum supremacy in the future large-scale quantum computers. Parameterized quantum circuits (PQC) have emerged as a major driver for the development of quantum routines that potentially improve the circuit's resilience to the noise. PQC's have been applied in both generative (e.g. generative adversarial network) and discriminative (e.g. quantum classifier) tasks in the field of quantum machine learning. PQC's have been also considered to realize high fidelity quantum gates with the available imperfect native gates of a target quantum hardware. Parameters of a PQC are determined through an iterative training process for a target noisy quantum hardware. However, temporal variations in qubit quality metrics affect the performance of a PQC. Therefore, the circuit that is trained without considering temporal variations exhibits poor fidelity over time. In this paper, we present training methodologies for PQC in a completely classical environment that can improve the fidelity of the trained PQC on a target NISQ hardware by as much as 21.91%.","Addressing Temporal Variations in Qubit Quality Metrics for Parameterized Quantum Circuits","IEEE","Alam and  M; Ash-Saki and  A; Ghosh and  S","",o,,1,2024-03-31 20:18:19,,,,
40690670,https://www.scopus.c,0,"challenges in quantum computing; Quantum computing; quantum computing algorithms; quantum computing use cases; quantum fundamentals","Recently, the popularity of using the expressive power of quantum computing to solve known, challenging problems has increased remarkably. This study aims to develop a clear understanding of the promises and limitations of the current state-of-the-art quantum computing use cases and to define directions for future research in this exciting field. In this regard, we present a literature survey of some of the dedicated work done by researchers in the quantum field. This paper intends to bridge the gap between computer professionals and non-physicists by offering the conceptual and notational information that segregates quantum computing from conventional computing. Subsequently, an attempt has been made to survey existing applications, technological advancements, and contemporary challenges associated with quantum computing. ?? 2022, The Author(s) under exclusive licence to International Center for Numerical Methods in Engineering (CIMNE).","Contemporary Quantum Computing Use Cases: Taxonomy, Review and Challenges","Scopus: Arch. Comput. Methods Eng.ReviewFinal","Singh and  Jaiteg (26422494700); Bhangu and  Kamalpreet Singh (57221541195)","",o,,1,2024-03-31 20:18:59,,,,
40690671,http://dx.doi.org/10,0,"Perovskite quantum dots; Solution-process at room temperature; Mass synthesis; WLED","Over the past decades, big successful developments have been achieved in Quantum Dots (QDs) materials with unique photonic and electronic properties. In the QDs family, lead Halide Perovskites (HPs) QDs are especially recognized for excellent Photoluminescence Quantum Yield (PLQY,70%similar to 100%),ambipolar carrier transport,wide color gamut (150% NTSC) and low-cost solution synthesis process,making them as promising materials for Light-Emitting Diodes(LEDs)toward high-performance lighting and displays. Compared to the organic- inorganic lead HPs (MAPbX(3) and FAPbX(3),X=Cl,Br and I),all-inorganic cesium-lead HPs(CsPbX3)possess relatively higher stability and comparable optical properties,are more promising to fabricate devices for practical application. Since the first LEDs using CsPbBr3 Quantum Dots(QDs) emitters,the PLQY and stability of QDs have been continually increasing. Despite the rapid improvement in terms of PLQY and stability,the mass synthesis of perovskites QDs has been seldom studied but very crucial for applications. In order to overcome the performance degradation of inorganic perovskite (CsPbBr3) QDs during materials preparation with large quantities, a modified supersaturated recrystallization solution- process was proposed to prepare high-quality CsPbBr3 QDs at room temperature. By adding hydrobromic acid(HBr) to accelerate the dissolution of the perovskite precursor,and introducing Lewis acid ligand to partially replace oleylamine(OAm),to realize the effective passivation of surface defect of CsPbBr3 QDs. This method enables the synthesis of highly efficient luminescent CsPbBr3 QDs with low cost and mass production. The experiment results show that the CsPbBr3 QDs exhibit an emission peak at 517 nm with a narrow Full Width at Half Maximum (FWHM)of 17 nm. Meanwhile,the PLQY of the CsPbBr3 QDs is measured to be as high as 95%. The X- Ray Diffraction (XRD) patterns of the CsPbBr3 QDs show that its characteristic peaks located at 15.49 degrees(100),21.85 degrees(110),30.98 degrees(200),38.17 degrees(211),44.15 degrees(220),which indicated the typical monoclinic structure of the CsPbBr3 QDs (JCPDS No. 18-0364). The X- ray Photoelectron Spectroscopy (XPS) implied the CsPbBr3 QDs showed Br- rich composition, which the rich Br in CsPbBr3 QDs probably contributes to the excellent optical properties and good air-stability properties in the ambient environment. As a proof-of-concept device,a backlit White Light Emitting- Diode(WLED)was fabricated based on the CsPbBr3 QDs. A mixture of the green CsPbBr3 QDs and commercially available red phosphor functioned as the downconverters,and separated high-energy GaN blue light sources for photoexcitation,applied to emit white light. Consequently,the WLED device shows a luminous efficacy of 48.35 lm/W under an operating current of 20 mA. Meanwhile,the WLED exhibited a typical Electroluminescence (EL) spectra which contain three emission peaks,454 nm peak of blue chip,517 nm peak of green CsPbBr3,and 620 nm peak of red phosphor,resperctively. Furthermore,we obtained the device with a CIE coordinate value of(0.30, 0.31) in CIE 1931 color space,which is quite close to the standard white color(0.33,0.33). The WLED with high efficiency demonstrated the promising potential of CsPbBr3 QDs for domestic lighting,backlit display,and optical communication applications.","Room-temperature Massive Synthesis of High Quality Inorganic Perovskite Quantum Dots and Their Application in WLED","SCIENCE PRESS","Shen and  YL; Chen and  P; Hu and  YQ; Cui and  L; Wang and  Y","",o,,-1,2024-03-31 20:19:03,,,,
40690672,http://dx.doi.org/10,0,"Noise; quantum dots (QDs); semiconductor optical amplifiers (SOAs)","We use a semiconductor optical Bloch equation approach combined with a traveling wave equation for the electric field to explore the effect of noise on the signal quality of a quantum-dot(QD) semiconductor optical amplifier. Using a stochastic white noise source for the spontaneous emission inside the QDs, we can show that there is a tradeoff between amplification performance and signal quality. Nevertheless, optimized operation conditions exist and are discussed for various input signals.","Influence of Noise on the Signal Quality of Quantum-Dot Semiconductor Optical Amplifiers","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","Wilkinson and  S; Lingnau and  B; Korn and  J; Sch??ll and  E; L??dge and  K","",o,,-1,2024-03-31 20:19:07,,,,
40690673,http://dx.doi.org/10,0,"CHEMICAL-VAPOR-DEPOSITION; PHOTOLUMINESCENCE; ALXGA1-XAS; LASERS; PASSIVATION; GAAS","We demonstrate that high-quality AlGaAs and AlGaInP epilayers and AlGaAs/GaAs multi-quantum well (MQW) structures can be regrown directly on AlGaAs by metalorganic vapor phase epitaxy (MOVPE). The quality of regrown layers and structures was significantly improved when they were grown on Se-doped AlGaAs substrate-layers compared to on undoped AlGaAs substrate-layers. The full width of half maximum (FWHM) of the bound exciton (BE) peak of Al0.13Ga0.87As grown on Se-doped Al0.26Ga0.74As was as low as 4.5 meV measured by low temperature (15 K) photoluminescence (PL). In addition, the PL emissions from an AlGaAs/GaAs quantum well structures which were grown directly on Se-doped AlGaAs was observed for the first time. Other characterization results also show that the quality of layers grown on Se-doped AlGaAs substrate-layers is almost identical to that of layers grown on GaAs substrates.","Regrowth of high-quality AlGaAs and AlGaInP layers and quantum well structures on Se-doped AlGaAs by MOVPE","ELSEVIER SCIENCE BV","Lee and  KJ; Chen and  JC","",o,,-1,2024-03-31 20:19:12,,,,
40690674,http://dx.doi.org/10,0,"GaN-based UV-PDs; Surface passivation; Degradation of photovoltaic properties; Spectral responsivity; Photo -response time; Carrier trapping","The degradation dynamics in GaN/InGaN multi-quantum-wells (MQWs) ultraviolet photodetectors (UV-PDs) submitted to high current stress have been intensively investigated. To scrutinize the root mechanism for degradation, several electro-optical measurements have been performed. The obtained results imply that (i) the rectification ratio diminishes largely after stress treatment, suggesting that leakage current and resistive effects are improved; (ii) both open-circuit voltage (VOC), and short-circuit current density (JSC) decline sharply within the first few hours (<50 h) of stress, after that degradation rates for VOC, and JSC slow down when stress time increases to 340 h, suggesting the physical processes responsible for degradation are altered after certain stress time; (iii) the spectral responsivity (R lambda), particularly at 384 (peak value) and below 347 nm reduce due to stress, indicating generation of deep levels associated with donors in n-GaN, and formation of severe point defects within MQWs lower the value of R lambda, whilst worsening of p-GaN quality ruin the detection capability below 347 nm; and (iv) the photo-response time changes due to acute carrier trapping during stress. Finally, the collected results suggest that the combined effects of activation of initially inactive defects and worsening of metal/GaN interfaces degrade the performance of UV-PDs during stress.","Current-driven degradation dynamics in GaN/InGaN multi-quantum-wells UV photodetectors fabricated with a high-quality Al2O3 passivation film","PERGAMON-ELSEVIER SCIENCE LTD","Dalapati and  P; Egawa and  T; Miyoshi and  M","",o,,-1,2024-03-31 20:19:19,,,,
40690675,https://www.scopus.c,0,"Book chapter","Quantum computing (QC) is founded on the principles of quantum entanglement and the superposition of matter. It employs advanced computation techniques rather than conventional ones. To circumvent the limitations of conventional computing, new supercomputers employ quantum mechanics knowledge, which allows for the coherence of ones and zeros. Several fields like finance, healthcare, cybersecurity, transportation, climate change, and many more are taking advantage of QC. Indoor environmental quality (IEQ) is also one of the sectors that can benefit enormously with QC. The IEQ contains several parameters. Major IEQ parameters are indoor air quality, thermal comfort, acoustic comfort, and visual comfort. These parameters are associated with several physical, chemical, and biological components, which need critical computational considerations for accurate results and better understanding as the data can be highly overlapped. This chapter contains possible forthcoming research opportunities available in the collaborative work between 'indoor environment' and 'quantum computing.' ?? 2023, IGI Global. All rights reserved.","Quantum computing for indoor environmental quality: A leapfrogging technology","Scopus: Handb. of Res. on Quantum Comput. for Smart Environ.Book chapterFinal","Kapoor and  Nishant Raj (57219976443); Kumar and  Ashok (57221102175); Kumar and  Anuj (58369659200); Kumar and  Aman (57189224222); Arora and  Harish Chandra (57541182300); Jahangir and  Hashem (57203011482)","",o,,-1,2024-03-31 20:20:15,,,,
40690676,http://dx.doi.org/10,0,"quantum dot; nanotechnology; nanomaterials; greenhouse; spectrum; sunlight; horticulture; tomatoes","The spectral quality of sunlight reaching plants remains a path for optimization in greenhouse cultivation. Quantum dots represent a novel, emission-tunable luminescent material for optimizing the sunlight spectrum in greenhouses with minimal intensity loss, ultimately enabling improved light use efficiency of plant growth without requiring electricity. In this study, greenhouse films containing CuInS2/ZnS quantum dots were utilized to absorb and convert ultraviolet and blue photons from sunlight to a photoluminescent emission centered at 600 nm. To analyze the effects of the quantum dot film spectrum on plant production, a 25-week tomato trial was conducted in Dutch glass greenhouses. Plants under the quantum dot film experienced a 14% reduction in overall daily light integral, resulting from perpendicular photosynthetically active radiation transmission of 85.3%, mainly due to reflection losses. Despite this reduction in intensity, the modified sunlight spectrum and light diffusion provided by the quantum dot film gave rise to 5.7% improved saleable production yield, nearly identical total fruiting biomass production, 23% higher light use efficiency (g/mol), 10% faster vegetative growth rate, and 36% reduced tomato waste compared to the control, which had no additional films. Based on this result, materials incorporating quantum dots show promise in enabling passive, electricity-free spectrum modification for improving crop production in greenhouse cultivation, but extensive controlled crop studies are needed to further validate their effectiveness.","Luminescent quantum dot films improve light use efficiency and crop quality in greenhouse horticulture","FRONTIERS MEDIA SA","Hebert and  D; Boonekamp and  J; Parrish and  CH; Ramasamy and  K; Makarov and  NS; Casta??eda and  C; Schuddebeurs and  L; McDaniel and  H; Bergren and  MR","",o,,-1,2024-03-31 20:20:19,,,,
40690677,https://www.scopus.c,0,"Molecular beam epitaxy; Photoluminescence; Reflection high energy electron diffraction; Semiconducting gallium compounds; Semiconductor quantum wells; Strain; Transmission electron microscopy; X ray diffraction analysis; Interfacial strain reduction; Strain mediating layers; Quantum well lasers","The authors report on the use of thin (2 nm) layers with intermediate strain placed between the barriers and the quantum wells of GaInNAs/GaInNAs structures in order to reduce the effect of strain on the quantum wells. A comparison between samples with and without these strain-mediating layers has been performed using various optical and structural techniques, such as photoluminescence, high-resolution X-ray diffractometry and transmission electron microscopy. The results show that the introduction of strain-mediating layers brings beneficial effects to the structural quality of the active region which, in turn, is reflected by a two orders of magnitude improvement in the photoluminescence intensity. It is thought that this structural design approach can be successfully used to obtain high performance 1.3 and 1.55 ??m lasers based on dilute nitride materials grown on GaAs. ?? IEE, 2004.","Improvement in the optical quality of GaInNAs/GaInAs quantum well structures by interfacial strain reduction","Scopus: IEE Proc OptoelectronArticleFinal","Navaretti and  P. (6603268855); Liu and  H.Y. (15765485000); Hopkinson and  M. (36041532400); Guti??rrez and  M. (35240020700); David and  J.P.R. (25647614700); Hill and  G. (7401963994); Herrera and  M. (56220385400); Gonz??lez and  D. (26642908900); Garc??a and  R. (7403264459)","",o,,-1,2024-03-31 20:20:25,,,,
